ID,study,ResearchAsisitant,Raven1,Raven2,Raven3,Raven4,Raven5,Raven6,Raven7,Raven8,Raven9,Raven10,Raven11,Raven12,Raven13,Raven14,Raven15,Raven16,Raven17,Raven18,Raven19,Raven20,Raven21,Raven22,Raven23,Raven24,Raven25,Raven26,Raven27,Raven28,Raven29,Raven30,Raven31,Raven32,Raven33,Raven34,Raven35,Raven36,sex,age,Raven_Total,Raven_percentile,Raven_probabilities,Raven_z_scores,Raven_IQ,Raven_IQ_cat,SAI_winsorised,SAI_winsorized_IQ,SAI_residuals,SAI_residuals_abs,Raven_IQ2,SAIQ_IQ_dif,raven_odd,raven_even,raven_even2
296,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,27,24,60,0.6,0.253347103,103.8002065,3,21,140,3.032079483,3.032079483,10774.48288,36.19979345,13,11,121
301,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,27,26,70,0.7,0.524400513,107.8660077,3,21,140,2.769179731,2.769179731,11635.07562,32.13399231,15,11,121
1068,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,28,25,65,0.65,0.385320466,105.779807,3,21,140,2.900629607,2.900629607,11189.36757,34.220193,12,13,169
320,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,28,25,65,0.65,0.385320466,105.779807,3,21,140,2.900629607,2.900629607,11189.36757,34.220193,12,13,169
319,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,28,25,65,0.65,0.385320466,105.779807,3,21,140,2.900629607,2.900629607,11189.36757,34.220193,13,12,144
321,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,28,26,70,0.7,0.524400513,107.8660077,3,21,140,2.769179731,2.769179731,11635.07562,32.13399231,13,13,169
878,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,31,26,70,0.7,0.524400513,107.8660077,3,21,140,2.769179731,2.769179731,11635.07562,32.13399231,14,12,144
353,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,31,26,70,0.7,0.524400513,107.8660077,3,21,140,2.769179731,2.769179731,11635.07562,32.13399231,14,12,144
1063,data4, ,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,35,25,67,0.67,0.439913166,106.5986975,3,21,140,2.900629607,2.900629607,11363.28231,33.40130251,12,13,169
366,couples,couples_men,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,35,25,67,0.67,0.439913166,106.5986975,3,21,140,2.900629607,2.900629607,11363.28231,33.40130251,12,13,169
58,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,21,25,65,0.65,0.385320466,105.779807,3,22,145,3.900629607,3.900629607,11189.36757,39.220193,15,10,100
1078,data4, ,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,22,25,65,0.65,0.385320466,105.779807,3,22,145,3.900629607,3.900629607,11189.36757,39.220193,12,13,169
117,couples,couples_men,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,22,25,65,0.65,0.385320466,105.779807,3,22,145,3.900629607,3.900629607,11189.36757,39.220193,12,13,169
167,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,23,24,60,0.6,0.253347103,103.8002065,3,22,145,4.032079483,4.032079483,10774.48288,41.19979345,12,12,144
